[21:42:22] Loaded init checkpoint from runs/il_gpu/il_final.pt
[21:45:52] upd 122/200 | 1.71s | steps=32768 | loss=0.0071 pi=-0.0015 v=0.0014 ent=3.2751 | frontier=on
[21:45:54] upd 123/200 | 1.71s | steps=32768 | loss=0.0092 pi=0.0002 v=0.0017 ent=3.2874 | frontier=on
[21:45:55] upd 124/200 | 1.71s | steps=32768 | loss=0.0113 pi=0.0020 v=0.0021 ent=3.2865 | frontier=on
[21:45:57] upd 125/200 | 1.71s | steps=32768 | loss=0.0099 pi=0.0001 v=0.0019 ent=3.2966 | frontier=on
[21:45:59] upd 126/200 | 1.71s | steps=32768 | loss=0.0056 pi=-0.0036 v=0.0012 ent=3.2846 | frontier=on
[21:46:00] upd 127/200 | 1.71s | steps=32768 | loss=0.0083 pi=-0.0005 v=0.0018 ent=3.2557 | frontier=on
[21:46:02] upd 128/200 | 1.71s | steps=32768 | loss=0.0095 pi=-0.0000 v=0.0018 ent=3.2790 | frontier=on
[21:46:04] upd 129/200 | 1.71s | steps=32768 | loss=0.0099 pi=0.0007 v=0.0017 ent=3.3142 | frontier=on
[21:46:06] upd 130/200 | 1.72s | steps=32768 | loss=0.0080 pi=-0.0005 v=0.0016 ent=3.2716 | frontier=on
[21:46:07] upd 131/200 | 1.71s | steps=32768 | loss=0.0081 pi=-0.0000 v=0.0017 ent=3.2312 | frontier=on
[21:46:09] upd 132/200 | 1.71s | steps=32768 | loss=0.0088 pi=-0.0006 v=0.0015 ent=3.2794 | frontier=on
[21:46:11] upd 133/200 | 1.72s | steps=32768 | loss=0.0061 pi=-0.0027 v=0.0011 ent=3.2847 | frontier=on
[21:46:12] upd 134/200 | 1.71s | steps=32768 | loss=0.0087 pi=-0.0005 v=0.0015 ent=3.2975 | frontier=on
[21:46:14] upd 135/200 | 1.71s | steps=32768 | loss=0.0081 pi=-0.0006 v=0.0017 ent=3.2624 | frontier=on
[21:46:16] upd 136/200 | 1.71s | steps=32768 | loss=0.0068 pi=-0.0019 v=0.0015 ent=3.2749 | frontier=on
[21:46:18] upd 137/200 | 1.71s | steps=32768 | loss=0.0073 pi=-0.0018 v=0.0014 ent=3.3093 | frontier=on
[21:46:19] upd 138/200 | 1.72s | steps=32768 | loss=0.0077 pi=-0.0014 v=0.0013 ent=3.3058 | frontier=on
[21:46:21] upd 139/200 | 1.72s | steps=32768 | loss=0.0051 pi=-0.0029 v=0.0011 ent=3.2843 | frontier=on
[21:46:23] upd 140/200 | 1.71s | steps=32768 | loss=0.0097 pi=0.0011 v=0.0018 ent=3.2832 | frontier=on
[21:46:24] upd 141/200 | 1.71s | steps=32768 | loss=0.0087 pi=-0.0004 v=0.0011 ent=3.3350 | frontier=on
[21:46:26] upd 142/200 | 1.72s | steps=32768 | loss=0.0108 pi=0.0012 v=0.0016 ent=3.3064 | frontier=on
[21:46:28] upd 143/200 | 1.71s | steps=32768 | loss=0.0055 pi=-0.0029 v=0.0010 ent=3.2667 | frontier=on
[21:46:30] upd 144/200 | 1.71s | steps=32768 | loss=0.0049 pi=-0.0032 v=0.0008 ent=3.2853 | frontier=on
[21:46:31] upd 145/200 | 1.71s | steps=32768 | loss=0.0067 pi=-0.0009 v=0.0012 ent=3.2600 | frontier=on
[21:46:33] upd 146/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0011 v=0.0011 ent=3.3004 | frontier=on
[21:46:35] upd 147/200 | 1.70s | steps=32768 | loss=0.0096 pi=0.0010 v=0.0016 ent=3.2846 | frontier=on
[21:46:36] upd 148/200 | 1.71s | steps=32768 | loss=0.0071 pi=-0.0017 v=0.0010 ent=3.2828 | frontier=on
[21:46:38] upd 149/200 | 1.71s | steps=32768 | loss=0.0096 pi=0.0005 v=0.0016 ent=3.2867 | frontier=on
[21:46:40] upd 150/200 | 1.71s | steps=32768 | loss=0.0042 pi=-0.0041 v=0.0006 ent=3.3032 | frontier=on
[21:46:42] upd 151/200 | 1.71s | steps=32768 | loss=0.0066 pi=-0.0025 v=0.0009 ent=3.3165 | frontier=on
[21:46:43] upd 152/200 | 1.71s | steps=32768 | loss=0.0117 pi=0.0022 v=0.0018 ent=3.3132 | frontier=on
[21:46:45] upd 153/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0008 v=0.0015 ent=3.2759 | frontier=on
[21:46:47] upd 154/200 | 1.71s | steps=32768 | loss=0.0090 pi=0.0006 v=0.0018 ent=3.2706 | frontier=on
[21:46:48] upd 155/200 | 1.71s | steps=32768 | loss=0.0084 pi=0.0001 v=0.0015 ent=3.2954 | frontier=on
[21:46:50] upd 156/200 | 1.71s | steps=32768 | loss=0.0081 pi=-0.0013 v=0.0013 ent=3.2877 | frontier=on
[21:46:52] upd 157/200 | 1.71s | steps=32768 | loss=0.0066 pi=-0.0020 v=0.0012 ent=3.2693 | frontier=on
[21:46:53] upd 158/200 | 1.71s | steps=32768 | loss=0.0031 pi=-0.0050 v=0.0005 ent=3.2773 | frontier=on
[21:46:55] upd 159/200 | 1.71s | steps=32768 | loss=0.0054 pi=-0.0028 v=0.0011 ent=3.2653 | frontier=on
