[22:26:23] upd 101/200 | 0.57s | steps=8192 | loss=0.0296 pi=-0.0411 v=0.1361 ent=0.9357 | frontier=on
[22:26:24] upd 102/200 | 0.57s | steps=8192 | loss=-0.0032 pi=-0.0831 v=0.1544 ent=0.9123 | frontier=on
[22:26:24] upd 103/200 | 0.57s | steps=8192 | loss=0.0804 pi=0.0088 v=0.1375 ent=0.9150 | frontier=on
[22:26:25] upd 104/200 | 0.56s | steps=8192 | loss=0.0465 pi=-0.0232 v=0.1337 ent=0.9113 | frontier=on
[22:26:26] upd 105/200 | 0.56s | steps=8192 | loss=0.0573 pi=-0.0145 v=0.1382 ent=0.9105 | frontier=on
[22:26:26] upd 106/200 | 0.57s | steps=8192 | loss=0.0163 pi=-0.0555 v=0.1387 ent=0.9219 | frontier=on
[22:26:27] upd 107/200 | 0.58s | steps=8192 | loss=0.0410 pi=-0.0347 v=0.1460 ent=0.9091 | frontier=on
[22:26:27] upd 108/200 | 0.56s | steps=8192 | loss=0.0381 pi=-0.0302 v=0.1309 ent=0.9067 | frontier=on
[22:26:28] upd 109/200 | 0.57s | steps=8192 | loss=0.0312 pi=-0.0457 v=0.1476 ent=0.8850 | frontier=on
[22:26:28] upd 110/200 | 0.57s | steps=8192 | loss=0.0234 pi=-0.0500 v=0.1404 ent=0.8748 | frontier=on
[22:26:29] upd 111/200 | 0.56s | steps=8192 | loss=0.0800 pi=-0.0028 v=0.1600 ent=0.8642 | frontier=on
[22:26:30] upd 112/200 | 0.57s | steps=8192 | loss=0.0948 pi=0.0205 v=0.1426 ent=0.8467 | frontier=on
[22:26:30] upd 113/200 | 0.56s | steps=8192 | loss=0.0525 pi=-0.0296 v=0.1572 ent=0.8390 | frontier=on
[22:26:31] upd 114/200 | 0.55s | steps=8192 | loss=0.0700 pi=-0.0096 v=0.1523 ent=0.8405 | frontier=on
[22:26:31] upd 115/200 | 0.56s | steps=8192 | loss=0.0519 pi=-0.0326 v=0.1624 ent=0.8538 | frontier=on
[22:26:32] upd 116/200 | 0.56s | steps=8192 | loss=0.0532 pi=-0.0288 v=0.1567 ent=0.8315 | frontier=on
[22:26:32] upd 117/200 | 0.57s | steps=8192 | loss=0.0250 pi=-0.0639 v=0.1709 ent=0.8240 | frontier=on
