update,seconds,steps,loss,policy_loss,value_loss,entropy
38,0.5193088054656982,8192,0.04706423015644153,-0.09427034606536229,0.27694908281167346,0.94384765625
39,0.5180585384368896,8192,0.11477916253109773,-0.02914209180744365,0.280959390103817,0.8984375
40,0.5199825763702393,8192,0.1383435409516096,-0.006588541281720002,0.283635916809241,0.897705078125
41,0.515371561050415,8192,0.14349745772778988,-0.0005011751006046931,0.2807476595044136,0.9261067708333334
42,0.5165493488311768,8192,0.12991738008956114,-0.013557275795998672,0.2800292472044627,0.9048665364583334
43,0.522942304611206,8192,0.12512975744903088,-0.01876098819775507,0.28057849407196045,0.8961181640625
44,0.5228509902954102,8192,0.116558322062095,-0.028294178812454145,0.282487228512764,0.895263671875
45,0.5121054649353027,8192,0.07191192482908566,-0.07929506370176871,0.2946949501832326,0.86328125
46,0.5148444175720215,8192,0.1446805497010549,-0.008632843964733183,0.29895758132139844,0.8352864583333334
47,0.5149955749511719,8192,0.1352917986611525,-0.01709255789561818,0.2972239901622136,0.8352457682291666
48,0.5235574245452881,8192,0.10192314349114895,-0.054491693153977394,0.30433251708745956,0.8139241536458334
49,0.5131492614746094,8192,0.09606201263765494,-0.06027998713155588,0.30463257680336636,0.8121337890625
50,0.5129439830780029,8192,0.18401987726489702,0.025061946051816147,0.30921922375758487,0.7917887369791666
51,0.51416015625,8192,0.10288209654390812,-0.05979806991914908,0.3165363644560178,0.7734375
52,0.5130367279052734,8192,0.18174471581975618,0.0239396629234155,0.30627596378326416,0.7743733723958334
53,0.5113215446472168,8192,0.12404529750347137,-0.035732545889914036,0.31005919476350147,0.763916015625
54,0.5172924995422363,8192,0.1674150712788105,0.0074187561792011065,0.31101736923058826,0.7529703776041666
55,0.5149991512298584,8192,0.13474562826255956,-0.024983933428302407,0.31011198461055756,0.7293294270833334
56,0.5134890079498291,8192,0.1129870576163133,-0.04739145251611868,0.3112352465589841,0.7317708333333334
57,0.5121004581451416,8192,0.11941985723872979,-0.04257413139566779,0.31424836814403534,0.7317301432291666
58,0.5160384178161621,8192,0.12465654872357845,-0.041741540655493736,0.32341792186101276,0.7070719401041666
59,0.5112869739532471,8192,0.15522437915205956,-0.011932677783382436,0.32397157450517017,0.7097981770833334
60,0.5132520198822021,8192,0.17476127917567888,0.009385266438281784,0.320705642302831,0.7054443359375
61,0.512645959854126,8192,0.22814400866627693,0.06358322904755671,0.3189745719234149,0.6926676432291666
62,0.5216872692108154,8192,0.08786703522006671,-0.07369733415544033,0.3129469007253647,0.69482421875
63,0.5106396675109863,8192,0.16575713083148003,-0.003396649262867868,0.3285221755504608,0.6870524088541666
64,0.5092165470123291,8192,0.12982935147980848,-0.039847849092135824,0.32961101333300274,0.6947428385416666
65,0.5081257820129395,8192,0.14360098789135614,-0.01922196161467582,0.31625159333149594,0.6876627604166666
66,0.5090696811676025,8192,0.17256627480189005,0.009385930393667271,0.31658891836802167,0.6961263020833334
