[22:09:53] Loaded init checkpoint from runs/il_tiny/il_final.pt
[22:10:42] upd 84/200 | 0.52s | steps=8192 | loss=0.1458 pi=-0.0221 v=0.3264 ent=0.6425 | frontier=on
[22:10:43] upd 85/200 | 0.53s | steps=8192 | loss=0.1420 pi=-0.0217 v=0.3176 ent=0.6335 | frontier=on
[22:10:43] upd 86/200 | 0.52s | steps=8192 | loss=0.1553 pi=-0.0100 v=0.3210 ent=0.6371 | frontier=on
[22:10:44] upd 87/200 | 0.51s | steps=8192 | loss=0.1522 pi=-0.0130 v=0.3202 ent=0.6203 | frontier=on
[22:10:44] upd 88/200 | 0.52s | steps=8192 | loss=0.1871 pi=0.0234 v=0.3166 ent=0.6265 | frontier=on
[22:10:45] upd 89/200 | 0.51s | steps=8192 | loss=0.1016 pi=-0.0640 v=0.3211 ent=0.6332 | frontier=on
[22:10:45] upd 90/200 | 0.51s | steps=8192 | loss=0.0920 pi=-0.0722 v=0.3185 ent=0.6139 | frontier=on
[22:10:46] upd 91/200 | 0.51s | steps=8192 | loss=0.1615 pi=-0.0027 v=0.3175 ent=0.6308 | frontier=on
[22:10:47] upd 92/200 | 0.51s | steps=8192 | loss=0.2059 pi=0.0386 v=0.3245 ent=0.6121 | frontier=on
[22:10:47] upd 93/200 | 0.51s | steps=8192 | loss=0.0585 pi=-0.1023 v=0.3117 ent=0.6177 | frontier=on
[22:10:48] upd 94/200 | 0.51s | steps=8192 | loss=0.1554 pi=-0.0099 v=0.3204 ent=0.6169 | frontier=on
[22:10:48] upd 95/200 | 0.51s | steps=8192 | loss=0.1521 pi=-0.0122 v=0.3183 ent=0.6156 | frontier=on
[22:10:49] upd 96/200 | 0.50s | steps=8192 | loss=0.1824 pi=0.0186 v=0.3172 ent=0.6122 | frontier=on
[22:10:49] upd 97/200 | 0.51s | steps=8192 | loss=0.1684 pi=0.0015 v=0.3239 ent=0.6225 | frontier=on
[22:10:50] upd 98/200 | 0.51s | steps=8192 | loss=0.1868 pi=0.0179 v=0.3271 ent=0.6132 | frontier=on
[22:10:50] upd 99/200 | 0.51s | steps=8192 | loss=0.1358 pi=-0.0262 v=0.3141 ent=0.6134 | frontier=on
[22:10:51] upd 100/200 | 0.51s | steps=8192 | loss=0.1156 pi=-0.0440 v=0.3088 ent=0.6000 | frontier=on
[22:10:51] upd 101/200 | 0.51s | steps=8192 | loss=0.1375 pi=-0.0234 v=0.3115 ent=0.6023 | frontier=on
[22:10:52] upd 102/200 | 0.50s | steps=8192 | loss=0.1482 pi=-0.0130 v=0.3118 ent=0.6040 | frontier=on
[22:10:52] upd 103/200 | 0.51s | steps=8192 | loss=0.1589 pi=-0.0057 v=0.3193 ent=0.6088 | frontier=on
[22:10:53] upd 104/200 | 0.51s | steps=8192 | loss=0.2247 pi=0.0592 v=0.3210 ent=0.6165 | frontier=on
[22:10:53] upd 105/200 | 0.52s | steps=8192 | loss=0.1786 pi=0.0140 v=0.3191 ent=0.5923 | frontier=on
[22:10:54] upd 106/200 | 0.51s | steps=8192 | loss=0.0973 pi=-0.0620 v=0.3085 ent=0.6021 | frontier=on
[22:10:54] upd 107/200 | 0.51s | steps=8192 | loss=0.2030 pi=0.0371 v=0.3214 ent=0.6066 | frontier=on
[22:10:55] upd 108/200 | 0.52s | steps=8192 | loss=0.2094 pi=0.0463 v=0.3154 ent=0.5948 | frontier=on
[22:10:55] upd 109/200 | 0.51s | steps=8192 | loss=0.1457 pi=-0.0183 v=0.3174 ent=0.5913 | frontier=on
[22:10:56] upd 110/200 | 0.52s | steps=8192 | loss=0.1311 pi=-0.0309 v=0.3135 ent=0.6059 | frontier=on
[22:10:56] upd 111/200 | 0.52s | steps=8192 | loss=0.1405 pi=-0.0189 v=0.3085 ent=0.5918 | frontier=on
[22:10:57] upd 112/200 | 0.52s | steps=8192 | loss=0.1627 pi=0.0019 v=0.3115 ent=0.5964 | frontier=on
[22:10:57] upd 113/200 | 0.51s | steps=8192 | loss=0.1571 pi=-0.0009 v=0.3056 ent=0.5922 | frontier=on
[22:10:58] upd 114/200 | 0.51s | steps=8192 | loss=0.2315 pi=0.0681 v=0.3163 ent=0.5914 | frontier=on
[22:10:58] upd 115/200 | 0.51s | steps=8192 | loss=0.1068 pi=-0.0482 v=0.3002 ent=0.6018 | frontier=on
[22:10:59] upd 116/200 | 0.50s | steps=8192 | loss=0.1062 pi=-0.0539 v=0.3100 ent=0.5941 | frontier=on
[22:10:59] upd 117/200 | 0.51s | steps=8192 | loss=0.1233 pi=-0.0351 v=0.3069 ent=0.5814 | frontier=on
[22:11:00] upd 118/200 | 0.51s | steps=8192 | loss=0.2482 pi=0.0841 v=0.3186 ent=0.5844 | frontier=on
[22:11:00] upd 119/200 | 0.51s | steps=8192 | loss=0.1949 pi=0.0347 v=0.3105 ent=0.5879 | frontier=on
[22:11:01] upd 120/200 | 0.50s | steps=8192 | loss=0.0949 pi=-0.0614 v=0.3025 ent=0.5745 | frontier=on
